,Run,Batch Size,Epochs,Model Name,Model alternative,Optimizer,Time steps,Uni/Multi,RMSE
0,1,1,10,Model 1,1,adam,1,Univariate,37.94271142378444
1,2,1,10,Model 2,1,adam,1,Multivariate,31.080594798791296
2,3,1,40,Model 3,1,adam,1,Univariate,31.504919583473136
3,4,1,40,Model 4,1,adam,1,Multivariate,27.28607984348641
4,5,1,100,Model 5,1,adam,1,Univariate,33.27083944592211
5,6,1,100,Model 6,1,adam,1,Multivariate,30.46799717695654
6,7,1,10,Model 7,1,adam,4,Univariate,33.72774206393172
7,8,1,10,Model 8,1,adam,4,Multivariate,27.18405529997446
8,9,1,40,Model 9,1,adam,4,Univariate,30.977470916565363
9,10,1,40,Model 10,1,adam,4,Multivariate,20.75511073056706
10,11,1,100,Model 11,1,adam,4,Univariate,32.97677518838975
11,12,1,100,Model 12,1,adam,4,Multivariate,24.530625697483543
12,13,1,10,Model 13,1,adam,52,Univariate,29.749529969211174
13,14,1,10,Model 14,1,adam,52,Multivariate,26.470382131220482
14,15,1,40,Model 15,1,adam,52,Univariate,29.500530705318184
15,16,1,40,Model 16,1,adam,52,Multivariate,32.442273481601504
16,17,1,100,Model 17,1,adam,52,Univariate,30.416164336328457
17,18,1,100,Model 18,1,adam,52,Multivariate,21.991388353563917
18,19,1,10,Model 19,1,adam,104,Univariate,25.799270008794057
19,20,1,10,Model 20,1,adam,104,Multivariate,35.100582683100356
20,21,1,40,Model 21,1,adam,104,Univariate,35.27914648582272
21,22,1,40,Model 22,1,adam,104,Multivariate,24.49986705826221
22,23,1,100,Model 23,1,adam,104,Univariate,34.834384324157696
23,24,1,100,Model 24,1,adam,104,Multivariate,33.45264759525933
24,25,1,10,Model 25,1,nadam,1,Univariate,36.71215473738198
25,26,1,10,Model 26,1,nadam,1,Multivariate,28.194334639504753
26,27,1,40,Model 27,1,nadam,1,Univariate,32.553942621308174
27,28,1,40,Model 28,1,nadam,1,Multivariate,29.82908259698817
28,29,1,100,Model 29,1,nadam,1,Univariate,32.5333914297123
29,30,1,100,Model 30,1,nadam,1,Multivariate,34.019807445671624
30,31,1,10,Model 31,1,nadam,4,Univariate,32.44471596170372
31,32,1,10,Model 32,1,nadam,4,Multivariate,36.14313503812986
32,33,1,40,Model 33,1,nadam,4,Univariate,31.525045089046777
33,34,1,40,Model 34,1,nadam,4,Multivariate,34.765215901191105
34,35,1,100,Model 35,1,nadam,4,Univariate,31.91751332698815
35,36,1,100,Model 36,1,nadam,4,Multivariate,22.71394672178949
36,37,1,10,Model 37,1,nadam,52,Univariate,35.51963336526689
37,38,1,10,Model 38,1,nadam,52,Multivariate,31.34325084503235
38,39,1,40,Model 39,1,nadam,52,Univariate,32.97629330290664
39,40,1,40,Model 40,1,nadam,52,Multivariate,32.971650655864764
40,41,1,100,Model 41,1,nadam,52,Univariate,30.2245303803617
41,42,1,100,Model 42,1,nadam,52,Multivariate,22.176932934612207
42,43,1,10,Model 43,1,nadam,104,Univariate,29.81507987749219
43,44,1,10,Model 44,1,nadam,104,Multivariate,38.58210036323327
44,45,1,40,Model 45,1,nadam,104,Univariate,35.22545687548303
45,46,1,40,Model 46,1,nadam,104,Multivariate,17.2501465449454
46,47,1,100,Model 47,1,nadam,104,Univariate,35.78049366899354
47,48,1,100,Model 48,1,nadam,104,Multivariate,30.609339512603604
48,49,2,10,Model 49,1,adam,1,Univariate,33.60346307726833
49,50,2,10,Model 50,1,adam,1,Multivariate,37.71889874391629
50,51,2,40,Model 51,1,adam,1,Univariate,32.78425416124062
51,52,2,40,Model 52,1,adam,1,Multivariate,19.147302274686943
52,53,2,100,Model 53,1,adam,1,Univariate,30.78090051380653
53,54,2,100,Model 54,1,adam,1,Multivariate,35.70569436106306
54,55,2,10,Model 55,1,adam,4,Univariate,30.3160939998822
55,56,2,10,Model 56,1,adam,4,Multivariate,20.475467691590676
56,57,2,40,Model 57,1,adam,4,Univariate,33.23842311111868
57,58,2,40,Model 58,1,adam,4,Multivariate,33.48162571902896
58,59,2,100,Model 59,1,adam,4,Univariate,31.053791005299576
59,60,2,100,Model 60,1,adam,4,Multivariate,27.63886039591807
60,61,2,10,Model 61,1,adam,52,Univariate,27.06128256407648
61,62,2,10,Model 62,1,adam,52,Multivariate,19.86621026876541
62,63,2,40,Model 63,1,adam,52,Univariate,28.10873052305004
63,64,2,40,Model 64,1,adam,52,Multivariate,30.863846401655575
64,65,2,100,Model 65,1,adam,52,Univariate,31.531944474012217
65,66,2,100,Model 66,1,adam,52,Multivariate,23.50008017017479
66,67,2,10,Model 67,1,adam,104,Univariate,34.3210772873354
67,68,2,10,Model 68,1,adam,104,Multivariate,27.918358410658218
68,69,2,40,Model 69,1,adam,104,Univariate,37.80089385181143
69,70,2,40,Model 70,1,adam,104,Multivariate,45.09672179863488
70,71,2,100,Model 71,1,adam,104,Univariate,33.020559021948685
71,72,2,100,Model 72,1,adam,104,Multivariate,16.107469785595697
72,73,2,10,Model 73,1,nadam,1,Univariate,30.358068943772178
73,74,2,10,Model 74,1,nadam,1,Multivariate,33.558102017977816
74,75,2,40,Model 75,1,nadam,1,Univariate,30.712275587019008
75,76,2,40,Model 76,1,nadam,1,Multivariate,21.472746870373825
76,77,2,100,Model 77,1,nadam,1,Univariate,32.371663414712906
77,78,2,100,Model 78,1,nadam,1,Multivariate,28.951323101899536
78,79,2,10,Model 79,1,nadam,4,Univariate,28.125766536488122
79,80,2,10,Model 80,1,nadam,4,Multivariate,26.12513485740572
80,81,2,40,Model 81,1,nadam,4,Univariate,32.714063387643414
81,82,2,40,Model 82,1,nadam,4,Multivariate,20.427021435146585
82,83,2,100,Model 83,1,nadam,4,Univariate,31.503048088461206
83,84,2,100,Model 84,1,nadam,4,Multivariate,23.218338233586923
84,85,2,10,Model 85,1,nadam,52,Univariate,39.505663941782224
85,86,2,10,Model 86,1,nadam,52,Multivariate,26.043332909975053
86,87,2,40,Model 87,1,nadam,52,Univariate,31.807130913059364
87,88,2,40,Model 88,1,nadam,52,Multivariate,37.93946940393336
88,89,2,100,Model 89,1,nadam,52,Univariate,30.668671588904413
89,90,2,100,Model 90,1,nadam,52,Multivariate,32.11724219406574
90,91,2,10,Model 91,1,nadam,104,Univariate,37.420909707138875
91,92,2,10,Model 92,1,nadam,104,Multivariate,34.2561864074545
92,93,2,40,Model 93,1,nadam,104,Univariate,38.37868251239684
93,94,2,40,Model 94,1,nadam,104,Multivariate,31.639667432581867
94,95,2,100,Model 95,1,nadam,104,Univariate,34.205901933769475
95,96,2,100,Model 96,1,nadam,104,Multivariate,27.620550753078142
96,97,13,10,Model 97,1,adam,1,Univariate,35.84882100265531
97,98,13,10,Model 98,1,adam,1,Multivariate,28.08178071337307
98,99,13,40,Model 99,1,adam,1,Univariate,33.80191373565716
99,100,13,40,Model 100,1,adam,1,Multivariate,50.05795663369343
100,101,13,100,Model 101,1,adam,1,Univariate,31.450399500474923
101,102,13,100,Model 102,1,adam,1,Multivariate,19.948545519909263
102,103,13,10,Model 103,1,adam,4,Univariate,28.677489312828648
103,104,13,10,Model 104,1,adam,4,Multivariate,30.121722472143656
104,105,13,40,Model 105,1,adam,4,Univariate,31.97626679833358
105,106,13,40,Model 106,1,adam,4,Multivariate,31.73378189112873
106,107,13,100,Model 107,1,adam,4,Univariate,31.89582768939482
107,108,13,100,Model 108,1,adam,4,Multivariate,21.025187525405475
108,109,13,10,Model 109,1,adam,52,Univariate,28.02202933105273
109,110,13,10,Model 110,1,adam,52,Multivariate,34.97202919307788
110,111,13,40,Model 111,1,adam,52,Univariate,33.73708244660021
111,112,13,40,Model 112,1,adam,52,Multivariate,40.869806674771716
112,113,13,100,Model 113,1,adam,52,Univariate,30.16129697873315
113,114,13,100,Model 114,1,adam,52,Multivariate,24.756766708055594
114,115,13,10,Model 115,1,adam,104,Univariate,38.727574206919655
115,116,13,10,Model 116,1,adam,104,Multivariate,23.310799157091623
116,117,13,40,Model 117,1,adam,104,Univariate,35.49629269921407
117,118,13,40,Model 118,1,adam,104,Multivariate,44.34511144344826
118,119,13,100,Model 119,1,adam,104,Univariate,33.178123182629044
119,120,13,100,Model 120,1,adam,104,Multivariate,29.11903445096676
120,121,13,10,Model 121,1,nadam,1,Univariate,31.203307386059784
121,122,13,10,Model 122,1,nadam,1,Multivariate,30.263004198884367
122,123,13,40,Model 123,1,nadam,1,Univariate,31.940575139767578
123,124,13,40,Model 124,1,nadam,1,Multivariate,18.89626772318319
124,125,13,100,Model 125,1,nadam,1,Univariate,32.034065989197195
125,126,13,100,Model 126,1,nadam,1,Multivariate,37.962797882775675
126,127,13,10,Model 127,1,nadam,4,Univariate,32.42723702860574
127,128,13,10,Model 128,1,nadam,4,Multivariate,44.35840993460211
128,129,13,40,Model 129,1,nadam,4,Univariate,31.22016401192123
129,130,13,40,Model 130,1,nadam,4,Multivariate,18.94972850795921
130,131,13,100,Model 131,1,nadam,4,Univariate,32.30099590499032
131,132,13,100,Model 132,1,nadam,4,Multivariate,29.728707792968407
132,133,13,10,Model 133,1,nadam,52,Univariate,31.45918964883593
133,134,13,10,Model 134,1,nadam,52,Multivariate,25.74955889279327
134,135,13,40,Model 135,1,nadam,52,Univariate,32.702438302108945
135,136,13,40,Model 136,1,nadam,52,Multivariate,35.723943257502334
136,137,13,100,Model 137,1,nadam,52,Univariate,30.683074798009198
137,138,13,100,Model 138,1,nadam,52,Multivariate,21.574489604334325
138,139,13,10,Model 139,1,nadam,104,Univariate,36.58551360448315
139,140,13,10,Model 140,1,nadam,104,Multivariate,25.193799285995464
140,141,13,40,Model 141,1,nadam,104,Univariate,36.901411266577576
141,142,13,40,Model 142,1,nadam,104,Multivariate,22.93010073918939
142,143,13,100,Model 143,1,nadam,104,Univariate,34.53688790738074
143,144,13,100,Model 144,1,nadam,104,Multivariate,30.137020690607017
144,145,26,10,Model 145,1,adam,1,Univariate,36.83156231171152
145,146,26,10,Model 146,1,adam,1,Multivariate,24.320369926741847
146,147,26,40,Model 147,1,adam,1,Univariate,32.030845377107106
147,148,26,40,Model 148,1,adam,1,Multivariate,22.436596701999242
148,149,26,100,Model 149,1,adam,1,Univariate,32.775686906560615
149,150,26,100,Model 150,1,adam,1,Multivariate,27.871097761353052
150,151,26,10,Model 151,1,adam,4,Univariate,32.589550104260155
151,152,26,10,Model 152,1,adam,4,Multivariate,31.37496198440817
152,153,26,40,Model 153,1,adam,4,Univariate,31.874209721028812
153,154,26,40,Model 154,1,adam,4,Multivariate,36.31171636800822
154,155,26,100,Model 155,1,adam,4,Univariate,29.92484993959587
155,156,26,100,Model 156,1,adam,4,Multivariate,19.63327356954975
156,157,26,10,Model 157,1,adam,52,Univariate,24.582745728386442
157,158,26,10,Model 158,1,adam,52,Multivariate,43.941668014446314
158,159,26,40,Model 159,1,adam,52,Univariate,33.77436798535385
159,160,26,40,Model 160,1,adam,52,Multivariate,40.76298301766796
160,161,26,100,Model 161,1,adam,52,Univariate,32.08860987486627
161,162,26,100,Model 162,1,adam,52,Multivariate,19.85615146210274
162,163,26,10,Model 163,1,adam,104,Univariate,25.91930209633227
163,164,26,10,Model 164,1,adam,104,Multivariate,35.881034375535826
164,165,26,40,Model 165,1,adam,104,Univariate,35.76810378168792
165,166,26,40,Model 166,1,adam,104,Multivariate,26.66573458430859
166,167,26,100,Model 167,1,adam,104,Univariate,34.42980632572854
167,168,26,100,Model 168,1,adam,104,Multivariate,22.463015653188236
168,169,26,10,Model 169,1,nadam,1,Univariate,33.74365913221996
169,170,26,10,Model 170,1,nadam,1,Multivariate,34.78089309815259
170,171,26,40,Model 171,1,nadam,1,Univariate,31.830322974318882
171,172,26,40,Model 172,1,nadam,1,Multivariate,31.613006016171184
172,173,26,100,Model 173,1,nadam,1,Univariate,31.865628661647026
173,174,26,100,Model 174,1,nadam,1,Multivariate,22.99057298197935
174,175,26,10,Model 175,1,nadam,4,Univariate,31.959617460746088
175,176,26,10,Model 176,1,nadam,4,Multivariate,20.627398008985033
176,177,26,40,Model 177,1,nadam,4,Univariate,30.8127547214417
177,178,26,40,Model 178,1,nadam,4,Multivariate,36.952632834933176
178,179,26,100,Model 179,1,nadam,4,Univariate,31.58209816872658
179,180,26,100,Model 180,1,nadam,4,Multivariate,43.163891471761104
180,181,26,10,Model 181,1,nadam,52,Univariate,32.4791606868926
181,182,26,10,Model 182,1,nadam,52,Multivariate,47.81184402375269
182,183,26,40,Model 183,1,nadam,52,Univariate,32.61598173951009
183,184,26,40,Model 184,1,nadam,52,Multivariate,25.872183628342516
184,185,26,100,Model 185,1,nadam,52,Univariate,32.693191430512876
185,186,26,100,Model 186,1,nadam,52,Multivariate,14.870351215955697
186,187,26,10,Model 187,1,nadam,104,Univariate,37.83567784832504
187,188,26,10,Model 188,1,nadam,104,Multivariate,32.472636068437104
188,189,26,40,Model 189,1,nadam,104,Univariate,37.37781087338789
189,190,26,40,Model 190,1,nadam,104,Multivariate,33.334601774241534
190,191,26,100,Model 191,1,nadam,104,Univariate,34.62673157129723
191,192,26,100,Model 192,1,nadam,104,Multivariate,24.842321731403583
192,193,52,10,Model 193,1,adam,1,Univariate,33.16404519885643
193,194,52,10,Model 194,1,adam,1,Multivariate,32.990269586196185
194,195,52,40,Model 195,1,adam,1,Univariate,31.58874344401852
195,196,52,40,Model 196,1,adam,1,Multivariate,20.351638254149474
196,197,52,100,Model 197,1,adam,1,Univariate,31.658025095350162
197,198,52,100,Model 198,1,adam,1,Multivariate,24.10342675497954
198,199,52,10,Model 199,1,adam,4,Univariate,29.80284949031721
199,200,52,10,Model 200,1,adam,4,Multivariate,22.659370777792407
200,201,52,40,Model 201,1,adam,4,Univariate,31.927621433289755
201,202,52,40,Model 202,1,adam,4,Multivariate,18.63728245315816
202,203,52,100,Model 203,1,adam,4,Univariate,31.424614361001996
203,204,52,100,Model 204,1,adam,4,Multivariate,27.152800141410506
204,205,52,10,Model 205,1,adam,52,Univariate,27.347929670915953
205,206,52,10,Model 206,1,adam,52,Multivariate,23.688881546274647
206,207,52,40,Model 207,1,adam,52,Univariate,33.530748714193955
207,208,52,40,Model 208,1,adam,52,Multivariate,41.592804463324846
208,209,52,100,Model 209,1,adam,52,Univariate,28.566458179766187
209,210,52,100,Model 210,1,adam,52,Multivariate,25.90910653388343
210,211,52,10,Model 211,1,adam,104,Univariate,41.827210618754265
211,212,52,10,Model 212,1,adam,104,Multivariate,46.78596449180999
212,213,52,40,Model 213,1,adam,104,Univariate,33.44575026190243
213,214,52,40,Model 214,1,adam,104,Multivariate,38.65154584381243
214,215,52,100,Model 215,1,adam,104,Univariate,34.00142482619169
215,216,52,100,Model 216,1,adam,104,Multivariate,26.479770204870732
216,217,52,10,Model 217,1,nadam,1,Univariate,31.830395930006205
217,218,52,10,Model 218,1,nadam,1,Multivariate,34.16193881023444
218,219,52,40,Model 219,1,nadam,1,Univariate,31.352109837940613
219,220,52,40,Model 220,1,nadam,1,Multivariate,41.10359423937593
220,221,52,100,Model 221,1,nadam,1,Univariate,32.53520347350536
221,222,52,100,Model 222,1,nadam,1,Multivariate,31.40525355584876
222,223,52,10,Model 223,1,nadam,4,Univariate,32.802549878391616
223,224,52,10,Model 224,1,nadam,4,Multivariate,20.107264864654773
224,225,52,40,Model 225,1,nadam,4,Univariate,30.566788617403585
225,226,52,40,Model 226,1,nadam,4,Multivariate,38.522471725785934
226,227,52,100,Model 227,1,nadam,4,Univariate,31.712783861788658
227,228,52,100,Model 228,1,nadam,4,Multivariate,22.90689946711525
228,229,52,10,Model 229,1,nadam,52,Univariate,33.587535079741514
229,230,52,10,Model 230,1,nadam,52,Multivariate,25.414944473008592
230,231,52,40,Model 231,1,nadam,52,Univariate,28.00123504397363
231,232,52,40,Model 232,1,nadam,52,Multivariate,32.118673265475856
232,233,52,100,Model 233,1,nadam,52,Univariate,30.45448224091341
233,234,52,100,Model 234,1,nadam,52,Multivariate,44.596147409995666
234,235,52,10,Model 235,1,nadam,104,Univariate,39.60609743663973
235,236,52,10,Model 236,1,nadam,104,Multivariate,38.49454032748787
236,237,52,40,Model 237,1,nadam,104,Univariate,37.65586802899006
237,238,52,40,Model 238,1,nadam,104,Multivariate,22.796488881584526
238,239,52,100,Model 239,1,nadam,104,Univariate,34.61753804912868
239,240,52,100,Model 240,1,nadam,104,Multivariate,31.016832174160538
240,241,104,10,Model 241,1,adam,1,Univariate,31.553616573083264
241,242,104,10,Model 242,1,adam,1,Multivariate,35.795195367574735
242,243,104,40,Model 243,1,adam,1,Univariate,33.616260817857814
243,244,104,40,Model 244,1,adam,1,Multivariate,21.319932432187997
244,245,104,100,Model 245,1,adam,1,Univariate,32.02311843436194
245,246,104,100,Model 246,1,adam,1,Multivariate,34.56745795071465
246,247,104,10,Model 247,1,adam,4,Univariate,34.97458680987213
247,248,104,10,Model 248,1,adam,4,Multivariate,36.52572348098913
248,249,104,40,Model 249,1,adam,4,Univariate,31.884831363013262
249,250,104,40,Model 250,1,adam,4,Multivariate,29.458215841280058
250,251,104,100,Model 251,1,adam,4,Univariate,30.32583225883054
251,252,104,100,Model 252,1,adam,4,Multivariate,24.374020242719485
252,253,104,10,Model 253,1,adam,52,Univariate,33.34134053719105
253,254,104,10,Model 254,1,adam,52,Multivariate,23.62449475883253
254,255,104,40,Model 255,1,adam,52,Univariate,33.345113662683175
255,256,104,40,Model 256,1,adam,52,Multivariate,33.69718730023188
256,257,104,100,Model 257,1,adam,52,Univariate,33.92647867964644
257,258,104,100,Model 258,1,adam,52,Multivariate,23.09554069736942
258,259,104,10,Model 259,1,adam,104,Univariate,35.873078458443246
259,260,104,10,Model 260,1,adam,104,Multivariate,47.40214893575208
260,261,104,40,Model 261,1,adam,104,Univariate,34.53097089860877
261,262,104,40,Model 262,1,adam,104,Multivariate,28.91964181439434
262,263,104,100,Model 263,1,adam,104,Univariate,32.56101848265094
263,264,104,100,Model 264,1,adam,104,Multivariate,23.308281789319068
264,265,104,10,Model 265,1,nadam,1,Univariate,35.68708000792913
265,266,104,10,Model 266,1,nadam,1,Multivariate,20.417959684032343
266,267,104,40,Model 267,1,nadam,1,Univariate,32.27313963084402
267,268,104,40,Model 268,1,nadam,1,Multivariate,19.43825279146752
268,269,104,100,Model 269,1,nadam,1,Univariate,33.24506765586339
269,270,104,100,Model 270,1,nadam,1,Multivariate,28.295279550756597
270,271,104,10,Model 271,1,nadam,4,Univariate,29.803271674835056
271,272,104,10,Model 272,1,nadam,4,Multivariate,37.65594838917318
272,273,104,40,Model 273,1,nadam,4,Univariate,34.369647252222634
273,274,104,40,Model 274,1,nadam,4,Multivariate,20.368773536911313
274,275,104,100,Model 275,1,nadam,4,Univariate,32.39942500396832
275,276,104,100,Model 276,1,nadam,4,Multivariate,20.76517315494792
276,277,104,10,Model 277,1,nadam,52,Univariate,29.251352263018834
277,278,104,10,Model 278,1,nadam,52,Multivariate,26.0265794877959
278,279,104,40,Model 279,1,nadam,52,Univariate,28.55138932018692
279,280,104,40,Model 280,1,nadam,52,Multivariate,37.766295636181894
280,281,104,100,Model 281,1,nadam,52,Univariate,27.61231842781624
281,282,104,100,Model 282,1,nadam,52,Multivariate,36.820212528294846
282,283,104,10,Model 283,1,nadam,104,Univariate,33.640911109064
283,284,104,10,Model 284,1,nadam,104,Multivariate,24.205371977857066
284,285,104,40,Model 285,1,nadam,104,Univariate,38.61390373885952
285,286,104,40,Model 286,1,nadam,104,Multivariate,17.2151798542794
286,287,104,100,Model 287,1,nadam,104,Univariate,32.710079048622966
287,288,104,100,Model 288,1,nadam,104,Multivariate,23.941749717895416
